product_id,product_name,category,unit_cost
P001,Whether Gadget,Hardware,467.79
P002,Develop Component,Storage,494.66
P003,Guy Gadget,Peripherals,243.69
P004,Congress Accessory,Peripherals,211.5
P005,Goal Gadget,Electronics,116.51
P006,Spring Component,Networking,303.2
P007,Think Tool,Electronics,236.34
P008,Decide Device,Peripherals,441.09
P009,Value Component,Hardware,428.89
P010,Person Device,Peripherals,144.74
P011,Leg Component,Networking,68.79
P012,Father Accessory,Hardware,302.59
P013,Officer Module,Storage,388.69
P014,Provide Device,Peripherals,349.07
P015,Again Module,Peripherals,191.83
P016,Pressure Tool,Electronics,421.03
P017,Wear Component,Peripherals,291.1
P018,Such Module,Networking,184.54
P019,Ready Device,Peripherals,288.61
P020,Cell Component,Electronics,492.63
P021,Certain Gadget,Hardware,389.66
P022,Tend Accessory,Hardware,286.17
P023,Try Accessory,Electronics,32.22
P024,Step Module,Networking,107.79
P025,Couple Device,Software,32.25
P026,People Module,Networking,332.16
P027,Sea Module,Hardware,196.4
P028,Organization Tool,Networking,335.15
P029,Modern Module,Software,285.04
P030,Truth Device,Hardware,370.1
P031,Compare Device,Software,175.81
P032,There Device,Networking,14.5
P033,Lot Accessory,Storage,390.87
P034,Home Accessory,Peripherals,53.29
P035,Major Accessory,Electronics,465.74
P036,Receive Component,Networking,414.35
P037,Way Component,Software,304.3
P038,Cell Device,Storage,308.97
P039,North Module,Software,161.94
P040,Store Module,Networking,203.25
P041,Among Tool,Hardware,97.52
P042,More Tool,Networking,480.75
P043,Later Accessory,Hardware,234.27
P044,Three Component,Peripherals,287.3
P045,Stay Gadget,Storage,276.26
P046,Marriage Gadget,Software,63.15
P047,Energy Device,Hardware,451.95
P048,Good Accessory,Peripherals,89.14
P049,Court Device,Storage,72.15
P050,Leader Device,Software,171.47
P051,Reason Accessory,Peripherals,226.9
P052,Their Accessory,Hardware,365.89
P053,Outside Gadget,Networking,238.4
P054,Great Module,Hardware,431.35
P055,Will Component,Storage,174.95
P056,Mean Component,Peripherals,474.67
P057,Friend Tool,Storage,419.79
P058,Get Tool,Software,315.5
P059,Others Device,Software,228.02
P060,Mention Accessory,Software,419.6
P061,Method Tool,Storage,225.34
P062,Rich Gadget,Storage,140.1
P063,Also Device,Software,342.09
P064,Voice Module,Software,471.76
P065,Benefit Gadget,Storage,394.26
P066,Strong Gadget,Electronics,83.77
P067,Be Gadget,Hardware,323.85
P068,Discussion Device,Networking,16.71
P069,Federal Device,Peripherals,334.86
P070,First Tool,Hardware,106.98
P071,Nature Tool,Electronics,315.81
P072,Financial Module,Electronics,18.99
P073,She Tool,Storage,130.19
P074,Attorney Device,Peripherals,330.38
P075,Forward Component,Software,295.03
P076,Forget Device,Electronics,341.35
P077,View Device,Hardware,193.5
P078,Should Gadget,Electronics,161.56
P079,Throughout Module,Hardware,463.49
P080,Thing Tool,Networking,222.12
P081,Western Module,Software,46.44
P082,Energy Module,Peripherals,423.66
P083,Decade Accessory,Networking,336.57
P084,Professor Device,Storage,97.73
P085,Movie Module,Electronics,186.84
P086,Body Module,Storage,403.23
P087,Source Module,Peripherals,402.2
P088,Heavy Tool,Networking,88.01
P089,Require Gadget,Electronics,238.03
P090,Example Component,Software,308.59
P091,Change Device,Networking,361.44
P092,Detail Tool,Hardware,108.24
P093,Accept Device,Networking,454.11
P094,Throughout Tool,Storage,275.19
P095,Lot Gadget,Software,28.35
P096,Environment Accessory,Hardware,274.78
P097,Decision Tool,Peripherals,323.24
P098,Hotel Component,Electronics,319.18
P099,New Device,Storage,217.35
P100,Environmental Module,Electronics,68.51
