shipment_id,product_id,supplier_id,origin_location_id,destination_location_id,shipment_date,quantity,shipping_cost,planned_delivery_date,actual_delivery_date,is_on_time
1,10,4,9,3,2022-01-01,193,59.43,2022-01-04,2022-01-04,True
2,21,3,7,8,2022-01-01,130,401.24,2022-01-08,2022-01-08,True
3,44,3,2,7,2022-01-01,181,195.98,2022-01-11,2022-01-11,True
4,3,2,6,7,2022-01-02,24,455.77,2022-01-05,2022-01-05,True
5,21,3,5,4,2022-01-02,171,437.93,2022-01-09,2022-01-09,True
6,31,4,7,2,2022-01-02,52,379.94,2022-01-05,2022-01-05,True
7,10,1,6,8,2022-01-03,70,266.63,2022-01-10,2022-01-10,True
8,11,4,5,10,2022-01-03,57,124.79,2022-01-12,2022-01-12,True
9,12,5,9,7,2022-01-03,29,67.07,2022-01-06,2022-01-06,True
10,13,5,7,4,2022-01-03,140,225.43,2022-01-08,2022-01-08,True
11,15,1,4,6,2022-01-03,92,199.89,2022-01-06,2022-01-06,True
12,21,5,7,2,2022-01-03,29,363.78,2022-01-07,2022-01-07,True
13,31,4,2,6,2022-01-03,50,171.83,2022-01-10,2022-01-10,True
14,39,4,10,8,2022-01-03,46,304.1,2022-01-12,2022-01-12,True
15,44,2,5,3,2022-01-03,12,273.44,2022-01-08,2022-01-08,True
16,48,3,5,4,2022-01-03,185,331.3,2022-01-09,2022-01-09,True
17,16,5,8,1,2022-01-04,193,393.17,2022-01-07,2022-01-07,True
18,36,4,7,6,2022-01-04,91,251.46,2022-01-07,2022-01-07,True
19,45,5,2,8,2022-01-04,135,135.83,2022-01-11,2022-01-11,True
20,7,2,9,4,2022-01-05,124,476.78,2022-01-08,2022-01-08,True
21,31,4,8,7,2022-01-05,75,458.75,2022-01-11,2022-01-11,True
22,34,1,6,9,2022-01-05,122,104.7,2022-01-08,2022-01-08,True
23,50,5,5,7,2022-01-05,129,273.05,2022-01-08,2022-01-08,True
24,9,5,8,10,2022-01-06,85,396.96,2022-01-12,2022-01-12,True
25,32,5,1,3,2022-01-06,64,380.91,2022-01-11,2022-01-11,True
26,41,5,7,10,2022-01-06,121,364.08,2022-01-15,2022-01-17,False
27,45,1,10,9,2022-01-06,64,71.02,2022-01-16,2022-01-16,True
28,50,5,10,2,2022-01-06,40,400.98,2022-01-09,2022-01-09,True
29,14,3,6,1,2022-01-07,181,483.18,2022-01-11,2022-01-11,True
30,32,3,6,8,2022-01-07,10,398.83,2022-01-12,2022-01-12,True
31,37,5,4,2,2022-01-07,54,61.92,2022-01-14,2022-01-14,True
32,45,1,7,1,2022-01-07,21,255.51,2022-01-14,2022-01-19,False
33,48,3,9,10,2022-01-07,117,374.36,2022-01-12,2022-01-12,True
34,9,2,8,4,2022-01-08,45,110.29,2022-01-17,2022-01-17,True
35,17,2,10,7,2022-01-08,70,284.94,2022-01-14,2022-01-14,True
36,24,5,2,5,2022-01-08,192,213.32,2022-01-14,2022-01-14,True
37,19,2,7,6,2022-01-09,193,273.69,2022-01-16,2022-01-16,True
38,27,4,9,6,2022-01-09,98,281.64,2022-01-18,2022-01-18,True
39,42,4,1,3,2022-01-09,113,86.11,2022-01-13,2022-01-13,True
40,48,5,10,2,2022-01-09,82,434.68,2022-01-16,2022-01-16,True
41,8,5,10,5,2022-01-10,95,276.9,2022-01-20,2022-01-20,True
42,11,4,3,7,2022-01-10,46,107.55,2022-01-20,2022-01-20,True
43,23,1,2,6,2022-01-10,35,302.64,2022-01-19,2022-01-19,True
44,44,1,5,10,2022-01-10,34,199.49,2022-01-14,2022-01-14,True
45,46,3,3,8,2022-01-10,104,64.59,2022-01-14,2022-01-14,True
46,47,5,6,8,2022-01-10,124,232.92,2022-01-20,2022-01-20,True
47,48,1,6,9,2022-01-10,56,287.21,2022-01-16,2022-01-16,True
48,12,2,1,8,2022-01-11,124,77.1,2022-01-14,2022-01-14,True
49,27,1,7,6,2022-01-11,103,131.84,2022-01-18,2022-01-18,True
50,28,4,4,10,2022-01-11,22,177.78,2022-01-15,2022-01-15,True
51,42,4,6,2,2022-01-11,187,415.48,2022-01-14,2022-01-14,True
52,47,1,6,8,2022-01-11,178,221.41,2022-01-16,2022-01-16,True
53,8,1,9,5,2022-01-12,104,51.51,2022-01-15,2022-01-15,True
54,11,2,10,7,2022-01-12,85,387.99,2022-01-20,2022-01-20,True
55,23,4,9,3,2022-01-12,175,53.33,2022-01-20,2022-01-20,True
56,24,3,6,9,2022-01-12,119,368.62,2022-01-17,2022-01-22,False
57,34,1,6,7,2022-01-12,57,391.87,2022-01-18,2022-01-18,True
58,47,2,10,5,2022-01-13,30,483.33,2022-01-20,2022-01-20,True
59,1,4,7,4,2022-01-14,139,464.71,2022-01-24,2022-01-24,True
60,4,3,6,4,2022-01-14,160,318.63,2022-01-20,2022-01-20,True
61,6,5,8,2,2022-01-14,178,294.42,2022-01-19,2022-01-19,True
62,29,5,2,8,2022-01-14,33,173.97,2022-01-17,2022-01-17,True
63,47,2,8,2,2022-01-14,77,50.8,2022-01-18,2022-01-18,True
64,25,2,6,4,2022-01-15,129,216.2,2022-01-19,2022-01-19,True
65,27,5,9,4,2022-01-15,83,162.4,2022-01-21,2022-01-21,True
66,40,1,3,1,2022-01-15,106,361.91,2022-01-20,2022-01-20,True
67,48,1,4,10,2022-01-15,196,72.59,2022-01-24,2022-01-24,True
68,7,2,6,4,2022-01-16,196,237.13,2022-01-21,2022-01-21,True
69,46,2,10,1,2022-01-16,133,181.44,2022-01-19,2022-01-19,True
70,47,3,5,6,2022-01-16,37,449.27,2022-01-19,2022-01-19,True
71,15,1,4,10,2022-01-17,135,388.44,2022-01-22,2022-01-22,True
72,19,2,10,1,2022-01-17,14,116.64,2022-01-24,2022-01-24,True
73,21,1,5,7,2022-01-17,16,121.06,2022-01-21,2022-01-21,True
74,26,5,3,6,2022-01-17,164,124.44,2022-01-24,2022-01-24,True
75,28,3,8,10,2022-01-17,58,199.72,2022-01-25,2022-01-25,True
76,33,4,5,6,2022-01-17,42,231.93,2022-01-25,2022-01-25,True
77,8,5,4,8,2022-01-18,161,115.64,2022-01-21,2022-01-21,True
78,10,2,8,1,2022-01-18,20,340.01,2022-01-26,2022-01-26,True
79,20,5,9,1,2022-01-18,157,254.51,2022-01-28,2022-01-28,True
80,36,1,7,1,2022-01-18,97,348.1,2022-01-22,2022-01-22,True
81,2,5,5,1,2022-01-19,161,472.16,2022-01-25,2022-01-25,True
82,7,2,5,4,2022-01-19,200,287.52,2022-01-26,2022-01-26,True
83,34,5,2,1,2022-01-19,150,79.99,2022-01-26,2022-01-26,True
84,37,3,10,9,2022-01-19,60,283.1,2022-01-26,2022-01-26,True
85,42,5,1,8,2022-01-19,67,268.82,2022-01-28,2022-01-28,True
86,45,1,6,3,2022-01-19,15,439.4,2022-01-29,2022-01-29,True
87,46,5,9,8,2022-01-19,178,278.79,2022-01-24,2022-01-24,True
88,49,3,4,2,2022-01-19,144,335.18,2022-01-26,2022-01-26,True
89,8,1,6,3,2022-01-20,42,346.31,2022-01-24,2022-01-24,True
90,13,1,9,3,2022-01-20,35,367.96,2022-01-27,2022-01-27,True
91,13,5,6,4,2022-01-21,88,369.25,2022-01-30,2022-01-30,True
92,35,2,8,5,2022-01-21,116,377.32,2022-01-24,2022-01-24,True
93,42,2,1,8,2022-01-21,33,295.44,2022-01-28,2022-01-28,True
94,4,1,6,1,2022-01-22,82,386.09,2022-01-31,2022-01-31,True
95,8,2,2,1,2022-01-22,89,154.01,2022-02-01,2022-02-01,True
96,10,4,6,9,2022-01-22,134,333.5,2022-01-25,2022-01-25,True
97,13,4,7,5,2022-01-22,66,135.92,2022-01-28,2022-01-28,True
98,36,3,2,10,2022-01-22,193,412.08,2022-01-26,2022-01-26,True
99,7,2,3,9,2022-01-23,160,356.87,2022-02-01,2022-02-01,True
100,10,5,5,10,2022-01-23,165,417.82,2022-01-30,2022-01-30,True
101,17,5,4,6,2022-01-23,186,273.49,2022-02-01,2022-02-01,True
102,23,3,6,10,2022-01-23,52,226.16,2022-01-30,2022-01-30,True
103,38,3,2,8,2022-01-23,162,151.6,2022-01-26,2022-01-26,True
104,39,2,1,5,2022-01-23,74,353.66,2022-02-01,2022-02-01,True
105,3,1,3,2,2022-01-24,78,102.25,2022-01-31,2022-01-31,True
106,10,5,1,2,2022-01-24,56,395.94,2022-02-01,2022-02-01,True
107,16,3,2,7,2022-01-24,147,237.33,2022-02-02,2022-02-05,False
